Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q02543,RL18A_HUMAN,60S ribosomal protein L18a (Large ribosomal subunit protein eL20),176,"20,762",5 out of 5,1994-06-01,Evidence at protein level
O76021,RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1),490,"54,973",5 out of 5,2005-04-26,Evidence at protein level
Q9UNX3,RL26L_HUMAN,60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1),145,"17,256",2 out of 5,2002-09-19,Evidence at protein level
Q9NSD7,RL3R1_HUMAN,Relaxin-3 receptor 1 (RLN3 receptor 1) (G protein-coupled receptor SALPR) (G-protein coupled receptor GPCR135) (Relaxin family peptide receptor 3) (Somatostatin- and angiotensin-like peptide receptor),469,"51,124",5 out of 5,2002-05-02,Evidence at protein level
P62888,RL30_HUMAN,60S ribosomal protein L30 (Large ribosomal subunit protein eL30),115,"12,784",5 out of 5,1987-08-13,Evidence at protein level
P42766,RL35_HUMAN,60S ribosomal protein L35 (Large ribosomal subunit protein uL29),123,"14,551",5 out of 5,1995-11-01,Evidence at protein level
P62945,RL41_HUMAN,60S ribosomal protein L41 (HG12) (Large ribosomal subunit protein eL41),25,"3,456",4 out of 5,2004-08-31,Evidence at protein level
P32969,RL9_HUMAN,60S ribosomal protein L9 (Large ribosomal subunit protein uL6),192,"21,863",5 out of 5,1993-10-01,Evidence at protein level
P61353,RL27_HUMAN,60S ribosomal protein L27 (Large ribosomal subunit protein eL27),136,"15,798",5 out of 5,1988-08-01,Evidence at protein level
P62910,RL32_HUMAN,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),135,"15,860",4 out of 5,1986-07-21,Evidence at protein level
P62891,RL39_HUMAN,60S ribosomal protein L39 (Large ribosomal subunit protein eL39),51,"6,407",5 out of 5,1986-07-21,Evidence at protein level
P35268,RL22_HUMAN,60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22),128,"14,787",5 out of 5,1994-02-01,Evidence at protein level
P46777,RL5_HUMAN,60S ribosomal protein L5 (Large ribosomal subunit protein uL18),297,"34,363",5 out of 5,1995-11-01,Evidence at protein level
P46779,RL28_HUMAN,60S ribosomal protein L28 (Large ribosomal subunit protein eL28),137,"15,748",5 out of 5,1995-11-01,Evidence at protein level
P61254,RL26_HUMAN,60S ribosomal protein L26 (Large ribosomal subunit protein uL24),145,"17,258",5 out of 5,2004-05-10,Evidence at protein level
P61927,RL37_HUMAN,60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37),97,"11,078",5 out of 5,1986-07-21,Evidence at protein level
P62917,RL8_HUMAN,60S ribosomal protein L8 (Large ribosomal subunit protein uL2),257,"28,025",5 out of 5,2004-08-31,Evidence at protein level
P05387,RLA2_HUMAN,60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44),115,"11,665",5 out of 5,1988-11-01,Evidence at protein level
Q86X10,RLGPB_HUMAN,Ral GTPase-activating protein subunit beta (p170),1494,"166,799",3 out of 5,2004-03-15,Evidence at protein level
P62750,RL23A_HUMAN,60S ribosomal protein L23a (Large ribosomal subunit protein uL23),156,"17,695",5 out of 5,2004-08-16,Evidence at protein level
P49207,RL34_HUMAN,60S ribosomal protein L34 (Large ribosomal subunit protein eL34),117,"13,293",5 out of 5,1996-02-01,Evidence at protein level
P61513,RL37A_HUMAN,60S ribosomal protein L37a (Large ribosomal subunit protein eL43),92,"10,275",5 out of 5,2004-05-24,Evidence at protein level
P62701,RS4X_HUMAN,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)",263,"29,598",5 out of 5,2004-07-19,Evidence at protein level
Q9Y2R9,RT07_HUMAN,"28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (Mitochondrial small ribosomal subunit protein uS7m) (bMRP-27a) (bMRP27a)",242,"28,134",4 out of 5,2007-01-23,Evidence at protein level
P62263,RS14_HUMAN,40S ribosomal protein S14 (Small ribosomal subunit protein uS11),151,"16,273",5 out of 5,1988-01-01,Evidence at protein level
P62244,RS15A_HUMAN,40S ribosomal protein S15a (Small ribosomal subunit protein uS8),130,"14,840",5 out of 5,2004-07-05,Evidence at protein level
P62249,RS16_HUMAN,40S ribosomal protein S16 (Small ribosomal subunit protein uS9),146,"16,445",5 out of 5,2004-07-05,Evidence at protein level
P23396,RS3_HUMAN,40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3),243,"26,688",5 out of 5,1991-11-01,Evidence at protein level
P22090,RS4Y1_HUMAN,"40S ribosomal protein S4, Y isoform 1 (Small ribosomal subunit protein eS4)",263,"29,456",5 out of 5,1991-08-01,Evidence at protein level
Q96T23,RSF1_HUMAN,Remodeling and spacing factor 1 (Rsf-1) (HBV pX-associated protein 8) (Hepatitis B virus X-associated protein) (p325 subunit of RSF chromatin-remodeling complex),1441,"163,821",5 out of 5,2005-01-04,Evidence at protein level
Q9H0K4,RSH6A_HUMAN,Radial spoke head protein 6 homolog A (Radial spoke head-like protein 1),717,"80,913",2 out of 5,2007-12-04,Evidence at transcript level
Q9BPW5,RSLBB_HUMAN,Ras-like protein family member 11B,248,"27,508",3 out of 5,2007-10-23,Evidence at transcript level
P62269,RS18_HUMAN,40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13),152,"17,719",5 out of 5,2004-07-05,Evidence at protein level
Q71UM5,RS27L_HUMAN,40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like),84,"9,477",5 out of 5,2004-08-16,Evidence at protein level
P61247,RS3A_HUMAN,40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1),264,"29,945",5 out of 5,2004-05-10,Evidence at protein level
Q9H1X1,RSPH9_HUMAN,Radial spoke head protein 9 homolog,276,"31,292",4 out of 5,2005-08-30,Evidence at protein level
P08708,RS17_HUMAN,40S ribosomal protein S17 (Small ribosomal subunit protein eS17),135,"15,550",5 out of 5,1988-01-01,Evidence at protein level
P39019,RS19_HUMAN,40S ribosomal protein S19 (Small ribosomal subunit protein eS19),145,"16,060",5 out of 5,1995-02-01,Evidence at protein level
Q5JNZ5,RS26L_HUMAN,Putative 40S ribosomal protein S26-like 1,115,"13,002",2 out of 5,2007-01-09,Uncertain
P62861,RS30_HUMAN,40S ribosomal protein S30 (Small ribosomal subunit protein eS30),59,"6,648",5 out of 5,2004-08-16,Evidence at protein level
P46781,RS9_HUMAN,40S ribosomal protein S9 (Small ribosomal subunit protein uS4),194,"22,591",5 out of 5,1995-11-01,Evidence at protein level
Q8WXG1,RSAD2_HUMAN,"Radical S-adenosyl methionine domain-containing protein 2 (Cytomegalovirus-induced gene 5 protein) (Viperin) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible)",361,"42,170",5 out of 5,2007-11-13,Evidence at protein level
Q5VZM2,RRAGB_HUMAN,Ras-related GTP-binding protein B (Rag B) (RagB),374,"43,250",5 out of 5,2006-06-13,Evidence at protein level
P60866,RS20_HUMAN,40S ribosomal protein S20 (Small ribosomal subunit protein uS10),119,"13,373",5 out of 5,2004-04-13,Evidence at protein level
P62280,RS11_HUMAN,40S ribosomal protein S11 (Small ribosomal subunit protein uS17),158,"18,431",5 out of 5,1987-08-13,Evidence at protein level
P62841,RS15_HUMAN,40S ribosomal protein S15 (RIG protein) (Small ribosomal subunit protein uS19),145,"17,040",5 out of 5,2004-08-16,Evidence at protein level
P62979,RS27A_HUMAN,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)],156,"17,965",5 out of 5,2004-08-31,Evidence at protein level
P46782,RS5_HUMAN,"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]",204,"22,876",5 out of 5,1995-11-01,Evidence at protein level
P62847,RS24_HUMAN,40S ribosomal protein S24 (Small ribosomal subunit protein eS24),133,"15,423",5 out of 5,2004-08-16,Evidence at protein level
Q9UHP6,RSP14_HUMAN,Radial spoke head 14 homolog (Rhabdoid tumor deletion region protein 1),348,"38,592",4 out of 5,2003-03-25,Evidence at protein level
Q9BUV0,RSRP1_HUMAN,Arginine/serine-rich protein 1,290,"33,613",3 out of 5,2007-08-21,Evidence at protein level
P08865,RSSA_HUMAN,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2),295,"32,854",5 out of 5,1988-11-01,Evidence at protein level
P82912,RT11_HUMAN,"28S ribosomal protein S11, mitochondrial (MRP-S11) (S11mt) (Cervical cancer proto-oncogene 2 protein) (HCC-2) (Mitochondrial small ribosomal subunit protein uS11m)",194,"20,616",5 out of 5,2002-05-27,Evidence at protein level
Q9Y2R5,RT17_HUMAN,"28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt) (Mitochondrial small ribosomal subunit protein uS17m)",130,"14,502",4 out of 5,2001-04-27,Evidence at protein level
Q9Y291,RT33_HUMAN,"28S ribosomal protein S33, mitochondrial (MRP-S33) (S33mt) (Mitochondrial small ribosomal subunit protein mS33)",106,"12,629",3 out of 5,2002-10-19,Evidence at protein level
P62851,RS25_HUMAN,40S ribosomal protein S25 (Small ribosomal subunit protein eS25),125,"13,742",5 out of 5,2004-08-16,Evidence at protein level
Q5VWQ0,RSBN1_HUMAN,Round spermatid basic protein 1,802,"90,072",3 out of 5,2007-09-11,Evidence at protein level
Q5TD94,RSH4A_HUMAN,Radial spoke head protein 4 homolog A (Radial spoke head-like protein 3),716,"80,733",5 out of 5,2008-01-15,Evidence at protein level
Q2MKA7,RSPO1_HUMAN,R-spondin-1 (Roof plate-specific spondin-1) (hRspo1),263,"28,959",5 out of 5,2006-05-16,Evidence at protein level
P82914,RT15_HUMAN,"28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt) (Mitochondrial small ribosomal subunit protein uS15m)",257,"29,842",5 out of 5,2001-04-27,Evidence at protein level
Q9BYN8,RT26_HUMAN,"28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt) (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (Mitochondrial small ribosomal subunit protein mS26)",205,"24,212",4 out of 5,2003-02-01,Evidence at protein level
Q9HA92,RSAD1_HUMAN,"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (EC 1.3.99.-) (Oxygen-independent coproporphyrinogen-III oxidase-like protein RSAD1)",442,"48,714",4 out of 5,2007-04-17,Evidence at transcript level
Q6PCB5,RSBNL_HUMAN,Round spermatid basic protein 1-like protein,846,"94,870",3 out of 5,2007-09-11,Evidence at protein level
Q9BU20,RSG1_HUMAN,REM2- and Rab-like small GTPase 1,258,"28,498",4 out of 5,2007-04-17,Evidence at protein level
Q6UXX9,RSPO2_HUMAN,R-spondin-2 (Roof plate-specific spondin-2) (hRspo2),243,"28,315",5 out of 5,2006-05-16,Evidence at protein level
Q2I0M5,RSPO4_HUMAN,R-spondin-4 (Roof plate-specific spondin-4) (hRspo4),234,"26,171",5 out of 5,2006-05-16,Evidence at protein level
Q15404,RSU1_HUMAN,Ras suppressor protein 1 (RSP-1) (Rsu-1),277,"31,540",4 out of 5,1997-11-01,Evidence at protein level
P82921,RT21_HUMAN,"28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt) (Mitochondrial small ribosomal subunit protein bS21m)",87,"10,742",4 out of 5,2001-05-04,Evidence at protein level
P51398,RT29_HUMAN,"28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)",398,"45,566",5 out of 5,1996-10-01,Evidence at protein level
Q9BQQ7,RTP3_HUMAN,Receptor-transporting protein 3 (3CxxC-type zinc finger protein 3) (Transmembrane protein 7),232,"27,031",4 out of 5,2002-10-10,Evidence at protein level
Q9H714,RUBCL_HUMAN,Protein RUBCNL-like,662,"73,457",3 out of 5,2005-07-19,Evidence at protein level
Q96CM3,RUSD4_HUMAN,RNA pseudouridylate synthase domain-containing protein 4,377,"42,205",3 out of 5,2007-09-11,Evidence at protein level
P62854,RS26_HUMAN,40S ribosomal protein S26 (Small ribosomal subunit protein eS26),115,"13,015",5 out of 5,2004-08-16,Evidence at protein level
P62273,RS29_HUMAN,40S ribosomal protein S29 (Small ribosomal subunit protein uS14),56,"6,677",5 out of 5,2004-07-05,Evidence at protein level
P62753,RS6_HUMAN,40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6),249,"28,681",5 out of 5,1988-08-01,Evidence at protein level
Q9Y3D3,RT16_HUMAN,"28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt) (Mitochondrial small ribosomal subunit protein bS16m)",137,"15,345",5 out of 5,2001-04-27,Evidence at protein level
Q9Y3D9,RT23_HUMAN,"28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt) (Mitochondrial small ribosomal subunit protein mS23)",190,"21,771",5 out of 5,2000-05-30,Evidence at protein level
P82673,RT35_HUMAN,"28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt) (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (Mitochondrial small ribosomal subunit protein mS35)",323,"36,844",4 out of 5,2006-02-07,Evidence at protein level
O00442,RTCA_HUMAN,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),366,"39,337",5 out of 5,1997-11-01,Evidence at protein level
A6NKG5,RTL1_HUMAN,Retrotransposon-like protein 1 (Mammalian retrotransposon derived protein 1) (Paternally expressed gene 11 protein) (Retrotransposon-derived protein PEG11),1358,"155,048",2 out of 5,2008-06-10,Inferred from homology
P59025,RTP1_HUMAN,Receptor-transporting protein 1 (3CxxC-type zinc finger protein 1),263,"30,913",4 out of 5,2002-10-10,Evidence at transcript level
Q14D33,RTP5_HUMAN,Receptor-transporting protein 5 (3CxxC-type zinc finger protein 5) (CXXC-type zinc finger protein 11),572,"60,488",5 out of 5,2008-09-02,Evidence at protein level
P09234,RU1C_HUMAN,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C),159,"17,394",5 out of 5,1989-07-01,Evidence at protein level
Q6ZNE9,RUFY4_HUMAN,RUN and FYVE domain-containing protein 4,571,"64,350",2 out of 5,2007-04-17,Evidence at protein level
Q9UJJ7,RUSD1_HUMAN,RNA pseudouridylate synthase domain-containing protein 1 (Ribosomal large subunit pseudouridine synthase C-like protein),312,"34,756",3 out of 5,2007-09-11,Evidence at protein level
P62306,RUXF_HUMAN,Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF),86,"9,725",5 out of 5,2004-07-05,Evidence at protein level
P57060,RWD2B_HUMAN,RWD domain-containing protein 2B,319,"36,332",3 out of 5,2000-12-01,Evidence at protein level
Q6NW29,RWDD4_HUMAN,RWD domain-containing protein 4 (Protein FAM28A),188,"21,251",3 out of 5,2006-01-24,Evidence at protein level
P28702,RXRB_HUMAN,Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta),533,"56,922",5 out of 5,1992-12-01,Evidence at protein level
P34925,RYK_HUMAN,Tyrosine-protein kinase RYK (EC 2.7.10.1),604,"67,507",5 out of 5,1994-02-01,Evidence at protein level
Q15413,RYR3_HUMAN,Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor),4870,"552,042",5 out of 5,2001-09-26,Evidence at protein level
P29377,S100G_HUMAN,"Protein S100-G (Calbindin-D9k) (S100 calcium-binding protein G) (Vitamin D-dependent calcium-binding protein, intestinal) (CABP)",79,"9,016",3 out of 5,1992-12-01,Inferred from homology
P25815,S100P_HUMAN,Protein S100-P (Migration-inducing gene 9 protein) (MIG9) (Protein S100-E) (S100 calcium-binding protein P),95,"10,400",5 out of 5,1992-05-01,Evidence at protein level
P29034,S10A2_HUMAN,Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2),98,"11,117",5 out of 5,1992-12-01,Evidence at protein level
P26447,S10A4_HUMAN,Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4),101,"11,729",5 out of 5,1992-08-01,Evidence at protein level
P31151,S10A7_HUMAN,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),101,"11,471",5 out of 5,1993-07-01,Evidence at protein level
P06702,S10A9_HUMAN,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),114,"13,242",5 out of 5,1988-01-01,Evidence at protein level
P55011,S12A2_HUMAN,Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1),1212,"131,447",5 out of 5,1996-10-01,Evidence at protein level
Q9UP95,S12A4_HUMAN,Solute carrier family 12 member 4 (Electroneutral potassium-chloride cotransporter 1) (Erythroid K-Cl cotransporter 1) (hKCC1),1085,"120,650",5 out of 5,2002-12-13,Evidence at protein level
Q9Y666,S12A7_HUMAN,Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4),1083,"119,106",5 out of 5,2002-12-13,Evidence at protein level
Q86YT5,S13A5_HUMAN,Solute carrier family 13 member 5 (Na(+)/citrate cotransporter) (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter),568,"63,062",5 out of 5,2006-11-28,Evidence at protein level
Q9UDX4,S14L3_HUMAN,SEC14-like protein 3 (Tocopherol-associated protein 2),400,"46,048",4 out of 5,2003-03-28,Evidence at protein level
Q8N697,S15A4_HUMAN,Solute carrier family 15 member 4 (Peptide transporter 4) (Peptide/histidine transporter 1) (hPHT1),577,"62,034",5 out of 5,2008-06-10,Evidence at protein level
Q9NRA2,S17A5_HUMAN,Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular H(+)/Aspartate-glutamate cotransporter),495,"54,640",5 out of 5,2004-06-07,Evidence at protein level
O95977,S1PR4_HUMAN,Sphingosine 1-phosphate receptor 4 (S1P receptor 4) (S1P4) (Endothelial differentiation G-protein coupled receptor 6) (Sphingosine 1-phosphate receptor Edg-6) (S1P receptor Edg-6),384,"41,623",5 out of 5,2004-02-16,Evidence at protein level
O15245,S22A1_HUMAN,Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1),554,"61,154",5 out of 5,2008-05-20,Evidence at protein level
Q6T423,S22AP_HUMAN,Solute carrier family 22 member 25 (Organic anion transporter UST6),547,"61,008",3 out of 5,2008-04-08,Evidence at transcript level
A6NKX4,S22AV_HUMAN,Putative solute carrier family 22 member 31,558,"58,987",2 out of 5,2008-05-20,Inferred from homology
Q3KQZ1,S2535_HUMAN,Solute carrier family 25 member 35,300,"32,438",3 out of 5,2007-06-26,Evidence at transcript level
Q86VD7,S2542_HUMAN,Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42),318,"35,409",5 out of 5,2007-06-26,Evidence at transcript level
Q96H78,S2544_HUMAN,Solute carrier family 25 member 44,314,"35,392",2 out of 5,2006-10-17,Evidence at transcript level
Q5H9E4,S2553_HUMAN,Solute carrier family 25 member 53 (Mitochondrial carrier triple repeat protein 6),307,"34,481",2 out of 5,2007-01-09,Evidence at transcript level
Q86WA9,S2611_HUMAN,Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11),606,"65,299",5 out of 5,2008-02-26,Evidence at transcript level
P40879,S26A3_HUMAN,Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3),764,"84,505",5 out of 5,1995-02-01,Evidence at protein level
Q9BXS9,S26A6_HUMAN,Solute carrier family 26 member 6 (Anion exchange transporter) (Pendrin-like protein 1) (Pendrin-L1),759,"82,967",5 out of 5,2002-03-05,Evidence at protein level
Q96RN1,S26A8_HUMAN,Testis anion transporter 1 (Anion exchange transporter) (Solute carrier family 26 member 8),970,"109,006",5 out of 5,2008-02-26,Evidence at protein level
O14975,S27A2_HUMAN,"Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 2) (THCA-CoA ligase) (Very long-chain-fatty-acid-CoA ligase)",620,"70,312",5 out of 5,1998-07-15,Evidence at protein level
Q14542,S29A2_HUMAN,"Equilibrative nucleoside transporter 2 (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)",456,"50,113",5 out of 5,1997-11-01,Evidence at protein level
Q5TZJ5,S31A1_HUMAN,Spermatogenesis-associated protein 31A1 (Protein FAM75A1),1347,"148,561",3 out of 5,2008-01-15,Inferred from homology
Q6ZQQ2,S31D1_HUMAN,Spermatogenesis-associated protein 31D1 (Protein FAM75D1),1576,"175,618",2 out of 5,2008-04-29,Evidence at transcript level
L0R6Q1,S35U4_HUMAN,SLC35A4 upstream open reading frame protein,103,"11,133",2 out of 5,2017-03-15,Inferred from homology
Q8NBW4,S38A9_HUMAN,Sodium-coupled neutral amino acid transporter 9 (Solute carrier family 38 member 9) (Up-regulated in lung cancer 11),561,"63,776",5 out of 5,2008-04-08,Evidence at protein level
Q9BRY0,S39A3_HUMAN,Zinc transporter ZIP3 (Solute carrier family 39 member 3) (Zrt- and Irt-like protein 3) (ZIP-3),314,"33,601",3 out of 5,2007-12-04,Evidence at protein level
Q96JT2,S45A3_HUMAN,Solute carrier family 45 member 3 (Prostate cancer-associated protein 6) (Prostein),553,"59,323",4 out of 5,2004-04-13,Evidence at transcript level
Q96FL8,S47A1_HUMAN,Multidrug and toxin extrusion protein 1 (MATE-1) (hMATE-1) (Solute carrier family 47 member 1),570,"61,922",5 out of 5,2007-12-04,Evidence at protein level
Q86VL8,S47A2_HUMAN,Multidrug and toxin extrusion protein 2 (MATE-2) (hMATE-2) (Kidney-specific H(+)/organic cation antiporter) (Solute carrier family 47 member 2),602,"65,085",5 out of 5,2007-12-04,Evidence at protein level
Q9BY07,S4A5_HUMAN,Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5),1137,"126,255",5 out of 5,2008-04-08,Evidence at transcript level
Q9Y6M7,S4A7_HUMAN,Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7),1214,"136,044",5 out of 5,2006-02-07,Evidence at protein level
Q9NWF4,S52A1_HUMAN,"Solute carrier family 52, riboflavin transporter, member 1 (Porcine endogenous retrovirus A receptor 2) (PERV-A receptor 2) (Protein GPR172B) (Riboflavin transporter 1) (hRFT1)",448,"46,317",5 out of 5,2005-10-11,Evidence at protein level
P31213,S5A2_HUMAN,3-oxo-5-alpha-steroid 4-dehydrogenase 2 (EC 1.3.1.22) (5 alpha-SR2) (SR type 2) (Steroid 5-alpha-reductase 2) (S5AR 2) (Type II 5-alpha reductase),254,"28,393",5 out of 5,1993-07-01,Evidence at protein level
P48066,S6A11_HUMAN,Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11),632,"70,606",5 out of 5,1996-02-01,Evidence at transcript level
Q9NSD5,S6A13_HUMAN,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),602,"68,009",5 out of 5,2001-09-26,Evidence at protein level
Q9H2J7,S6A15_HUMAN,Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3),730,"81,836",5 out of 5,2001-09-26,Evidence at protein level
Q96N87,S6A18_HUMAN,Sodium-dependent neutral amino acid transporter B(0)AT3 (Sodium- and chloride-dependent transporter XTRP2) (Solute carrier family 6 member 18) (System B(0) neutral amino acid transporter AT3),628,"70,897",5 out of 5,2004-06-07,Evidence at transcript level
P0DJI8,SAA1_HUMAN,Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)],122,"13,532",5 out of 5,2012-07-11,Evidence at protein level
A6NKF1,SAC31_HUMAN,SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1),404,"43,553",4 out of 5,2007-10-23,Evidence at protein level
Q9NXZ1,SAGE1_HUMAN,Sarcoma antigen 1 (Cancer/testis antigen 14) (CT14),904,"99,225",2 out of 5,2007-05-15,Evidence at protein level
Q9Y512,SAM50_HUMAN,Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3),469,"51,976",5 out of 5,2001-01-24,Evidence at protein level
Q70HW3,SAMC_HUMAN,S-adenosylmethionine mitochondrial carrier protein (Mitochondrial S-adenosylmethionine transporter) (Solute carrier family 25 member 26),274,"29,381",5 out of 5,2008-02-05,Evidence at protein level
Q5SSQ6,SAPC1_HUMAN,Suppressor APC domain-containing protein 1 (Protein G7d),148,"16,650",2 out of 5,2006-06-27,Evidence at transcript level
Q9Y3A5,SBDS_HUMAN,Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein),250,"28,764",5 out of 5,2000-05-30,Evidence at protein level
P82932,RT06_HUMAN,"28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt) (Mitochondrial small ribosomal subunit protein bS6m)",125,"14,227",5 out of 5,2001-05-04,Evidence at protein level
Q5QGT7,RTP2_HUMAN,Receptor-transporting protein 2 (3CxxC-type zinc finger protein 2),225,"26,068",4 out of 5,2005-03-15,Evidence at protein level
Q13950,RUNX2_HUMAN,Runt-related transcription factor 2 (Acute myeloid leukemia 3 protein) (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Oncogene AML-3) (Osteoblast-specific transcription factor 2) (OSF-2) (Polyomavirus enhancer-binding protein 2 alpha A subunit) (PEA2-alpha A) (PEBP2-alpha A) (SL3-3 enhancer factor 1 alpha A subunit) (SL3/AKV core-binding factor alpha A subunit),521,"56,648",5 out of 5,2001-11-02,Evidence at protein level
Q8N2Y8,RUSC2_HUMAN,Iporin (Interacting protein of Rab1) (RUN and SH3 domain-containing protein 2),1516,"161,225",4 out of 5,2004-07-19,Evidence at protein level
Q6P087,RUSD3_HUMAN,RNA pseudouridylate synthase domain-containing protein 3,351,"38,461",3 out of 5,2007-09-11,Evidence at protein level
